	idx	parents_id	title	type	definition	corpus	grade
0	0	[6, 362, 169, 769, 553, 183, 225, 1137]	弧	1	圆周的任意一段	[]	['其他']
1	1	[637, 797, 655]	棱	1	物体上的条状突起，或不同方向的两个平面相连接的部分	[]	['其他']
2	2	[1402, 360]	幂	1	一个数自乘若干次形式	[]	['其他']
4	4	[538, 362, 674]	弦	1	连结圆上任意两点的线段	[]	['其他']
5	5	[1225, 1693, 321, 1889]	腰	1		[]	['其他']
6	6	[202, 362, 1392, 169, 1524, 84, 291, 1893, 1952, 406, 1591]	圆	1	从中心点到周边任何一点的距离都相等的形	[]	['其他']
7	7	[]	除式	1		[]	['其他']
8	8	[]	同构	1		[]	['其他']
9	9	[]	映上	1		[]	['其他']
10	10	[]	映入	1		[]	['其他']
11	11	[]	主轴	1	机械工程中，指从发动机或电动机接受动力并将它传给其它机件的轴。	[]	['其他']
12	12	[]	内径	1	通过空心圆柱体或球体中心的直线,直线的两端点在物体的内表面上。	[]	['其他']
13	13	[]	视图	1		[]	['其他']
14	14	[374, 128, 1377]	积分	1	直观地说，对于一个给定的正实值函数，在一个实数区间上的定积分可以理解为在坐标平面上，由曲线、直线以及轴围成的曲边梯形的面积值（一种确定的实数值）。	[]	['其他']
15	15	[]	公式	1	用数学符号或文字表示各个数量之间的关系的式子，具有普遍性，适合于同类关系的所有问题。如圆面积公式是S=πR2，长方形面积公式是面积=长×宽。	[]	['其他']
16	16	[]	极小	1	可能达到最小的。	[]	['其他']
17	17	[]	除数	1	用来除被除数的数。	[]	['其他']
18	18	[1399, 304]	公比	1		[]	['其他']
19	19	[6, 212, 169, 1120, 3376, 29, 154, 210, 496, 1605]	距离	1	在空间或时间上相隔。	[]	['其他']
20	20	[1743, 3655]	组合	1	由几个部分或个体结合成整体	[]	['其他']
21	21	[]	组界	1		[]	['其他']
22	22	[3428, 206, 1955, 1942]	无解	1	在一定的范围内没有任何的数满足该方程。	[]	['其他']
23	23	[]	补余	1		[]	['其他']
24	24	[]	序偶	1		[]	['其他']
25	25	[]	等分	1		[]	['其他']
